participant_id,block,block_type,trial,position,reaction_time,correct,attempt,timestamp
iojoni,1,structured,1,1,387.36,True,1,2025-05-14 19:53:41
iojoni,1,structured,2,2,362.53,True,1,2025-05-14 19:53:42
iojoni,1,structured,3,1,307.79,True,1,2025-05-14 19:53:42
iojoni,1,structured,4,2,402.14,False,1,2025-05-14 19:53:43
iojoni,1,structured,4,2,605.31,False,2,2025-05-14 19:53:43
iojoni,1,structured,4,2,806.09,False,3,2025-05-14 19:53:43
iojoni,1,structured,4,2,1007.58,False,4,2025-05-14 19:53:43
iojoni,1,structured,4,2,1209.48,False,5,2025-05-14 19:53:44
iojoni,1,structured,4,2,1410.83,False,6,2025-05-14 19:53:44
iojoni,1,structured,4,2,1611.26,False,7,2025-05-14 19:53:44
iojoni,1,structured,4,2,1812.82,False,8,2025-05-14 19:53:44
iojoni,1,structured,4,2,2013.87,False,9,2025-05-14 19:53:44
iojoni,1,structured,4,2,2215.15,False,10,2025-05-14 19:53:45
iojoni,1,structured,4,2,2415.88,False,11,2025-05-14 19:53:45
iojoni,1,structured,4,2,2617.45,False,12,2025-05-14 19:53:45
iojoni,1,structured,4,2,2817.81,False,13,2025-05-14 19:53:45
iojoni,1,structured,4,2,3018.1,False,14,2025-05-14 19:53:45
iojoni,1,structured,4,2,3218.37,False,15,2025-05-14 19:53:46
iojoni,1,structured,4,2,3419.11,False,16,2025-05-14 19:53:46
iojoni,1,structured,4,2,3620.09,False,17,2025-05-14 19:53:46
iojoni,1,structured,4,2,3819.92,False,18,2025-05-14 19:53:46
iojoni,1,structured,4,2,4020.97,False,19,2025-05-14 19:53:46
iojoni,1,structured,4,2,4221.09,False,20,2025-05-14 19:53:47
iojoni,1,structured,4,2,4421.0,False,21,2025-05-14 19:53:47
iojoni,1,structured,4,2,4621.83,False,22,2025-05-14 19:53:47
iojoni,1,structured,4,2,4821.91,False,23,2025-05-14 19:53:47
iojoni,1,structured,4,2,5021.39,True,24,2025-05-14 19:53:47
iojoni,1,structured,5,1,521.87,True,1,2025-05-14 19:53:48
iojoni,1,structured,6,2,269.7,True,1,2025-05-14 19:53:48
iojoni,1,structured,7,1,536.62,False,1,2025-05-14 19:53:49
iojoni,1,structured,7,1,738.65,False,2,2025-05-14 19:53:49
iojoni,1,structured,7,1,939.74,False,3,2025-05-14 19:53:49
iojoni,1,structured,7,1,1141.0,False,4,2025-05-14 19:53:50
iojoni,1,structured,7,1,1341.86,False,5,2025-05-14 19:53:50
iojoni,1,structured,7,1,1543.29,False,6,2025-05-14 19:53:50
iojoni,1,structured,7,1,1744.48,False,7,2025-05-14 19:53:50
iojoni,1,structured,7,1,1944.94,False,8,2025-05-14 19:53:50
iojoni,1,structured,7,1,2145.63,True,9,2025-05-14 19:53:51
iojoni,1,structured,8,2,262.99,True,1,2025-05-14 19:53:51
iojoni,1,structured,9,1,314.62,True,1,2025-05-14 19:53:51
iojoni,1,structured,10,2,184.3,False,1,2025-05-14 19:53:52
iojoni,1,structured,10,2,385.16,False,2,2025-05-14 19:53:52
iojoni,1,structured,10,2,585.62,False,3,2025-05-14 19:53:52
iojoni,1,structured,10,2,786.59,False,4,2025-05-14 19:53:52
iojoni,1,structured,10,2,987.55,False,5,2025-05-14 19:53:53
iojoni,1,structured,10,2,1188.47,False,6,2025-05-14 19:53:53
iojoni,1,structured,10,2,1389.06,False,7,2025-05-14 19:53:53
iojoni,1,structured,10,2,1590.23,True,8,2025-05-14 19:53:53
iojoni,2,random,1,2,850.84,False,1,2025-05-14 19:53:55
iojoni,2,random,1,2,1051.81,False,2,2025-05-14 19:53:55
iojoni,2,random,1,2,1252.78,False,3,2025-05-14 19:53:55
iojoni,2,random,1,2,1454.27,False,4,2025-05-14 19:53:55
iojoni,2,random,1,2,1655.25,False,5,2025-05-14 19:53:55
iojoni,2,random,1,2,1855.62,False,6,2025-05-14 19:53:56
iojoni,2,random,1,2,2056.61,False,7,2025-05-14 19:53:56
iojoni,2,random,1,2,2258.22,False,8,2025-05-14 19:53:56
iojoni,2,random,1,2,2458.83,False,9,2025-05-14 19:53:56
iojoni,2,random,1,2,2659.9,False,10,2025-05-14 19:53:56
iojoni,2,random,1,2,2861.82,True,11,2025-05-14 19:53:57
iojoni,2,random,2,1,355.29,True,1,2025-05-14 19:53:57
iojoni,2,random,3,2,288.01,True,1,2025-05-14 19:53:58
iojoni,2,random,4,1,413.95,True,1,2025-05-14 19:53:58
iojoni,2,random,5,2,322.67,True,1,2025-05-14 19:53:58
iojoni,2,random,6,1,328.34,False,1,2025-05-14 19:53:59
iojoni,2,random,6,1,529.45,False,2,2025-05-14 19:53:59
iojoni,2,random,6,1,732.08,False,3,2025-05-14 19:53:59
iojoni,2,random,6,1,932.88,False,4,2025-05-14 19:54:00
iojoni,2,random,6,1,1133.01,False,5,2025-05-14 19:54:00
iojoni,2,random,6,1,1334.64,False,6,2025-05-14 19:54:00
iojoni,2,random,6,1,1535.26,False,7,2025-05-14 19:54:00
iojoni,2,random,6,1,1736.85,False,8,2025-05-14 19:54:00
iojoni,2,random,6,1,1958.05,True,9,2025-05-14 19:54:01
iojoni,2,random,7,2,268.11,True,1,2025-05-14 19:54:01
iojoni,2,random,8,1,282.98,True,1,2025-05-14 19:54:01
iojoni,2,random,9,2,193.91,False,1,2025-05-14 19:54:02
iojoni,2,random,9,2,393.99,False,2,2025-05-14 19:54:02
iojoni,2,random,9,2,595.04,False,3,2025-05-14 19:54:02
iojoni,2,random,9,2,796.97,False,4,2025-05-14 19:54:02
iojoni,2,random,9,2,997.94,False,5,2025-05-14 19:54:02
iojoni,2,random,9,2,1199.6,False,6,2025-05-14 19:54:03
iojoni,2,random,9,2,1400.83,True,7,2025-05-14 19:54:03
iojoni,2,random,10,1,319.63,True,1,2025-05-14 19:54:03
